,totalVaccinationLocation,totalInjected,population,totalOnceInjected,totalTwiceInjected,lastOnceInjected,lastTwiceInjected,currentTeamInjectInPractice,totalVaccineAllocated,popOverEighteen,totalVaccineAllocatedReality,provinceCode,provinceName,vaccineInjectionDailies,lastReportedDate,ratioOnePerAll,ratioTwicePerAll
51,153,66073,1764185,51727,14346,0,0,0,2512418,1322325,265110,82,Tiền Giang,[],,2.9320621136672176,0.8131800236369768
52,174,64994,1288463,47852,17142,0,0,0,1863239,980652,147050,83,Bến Tre,[],,3.7138823544021053,1.3304223714611907
53,112,28531,1009168,28531,0,0,0,0,1396109,734794,118350,84,Trà Vinh,[],,2.8271804100011098,0.0
54,125,43998,1022791,39191,4807,0,0,0,1461149,769026,187670,86,Vĩnh Long,[],,3.831770127034751,0.46998849227261486
55,168,157967,1599504,136506,21461,0,0,0,2244402,1181264,273880,87,Đồng Tháp,[],,8.534270623893407,1.3417284358151027
56,165,83131,1908352,75035,8096,0,0,0,2606158,1371662,253410,89,An Giang,[],,3.931926604735395,0.42424039170970557
57,172,83466,1723067,73169,10297,0,0,0,2371842,1248338,312220,91,Kiên Giang,[],,4.246439633513961,0.5975971915195405
58,20,60769,1235171,52927,7842,0,0,0,1789361,941769,234860,92,Cần Thơ,[],,4.284993737709192,0.6348918489828533
59,87,27414,733017,23233,4181,0,0,0,1018710,536163,101870,93,Hậu Giang,[],,3.1695035722227454,0.5703824058650754
60,44,57164,1199653,38064,19100,0,0,0,1636586,861361,131750,94,Sóc Trăng,[],,3.172917501977655,1.592127056740574
61,1,36013,907236,27648,8365,0,0,0,1275056,671082,113750,95,Bạc Liêu,[],,3.0474981151541605,0.9220313126904135
62,119,52402,1194476,44174,8228,0,0,0,1629385,857571,121410,96,Cà Mau,[],,3.69819067105576,0.688837615824847
